Author,Line
Борис Рыжий,И ты идёшь почти вслепую
Дмитрий Пригов,"А может быть, пора настала"
Борис Рыжий,"А ещё, а потом,"
Дмитрий Пригов,"Но, может, что взойдет взамен"
Борис Рыжий,"Рожей - в грязь, и чтоб не поднимали"
Борис Рыжий,рябину у окна
Борис Рыжий,"парк в середине сентября,"
Дмитрий Пригов,"Может быть жизнь такая, а может глубина выше человеческих сил"
Борис Рыжий,"чтобы лес золотой, голубой"
Дмитрий Пригов,Вот она и спит уж вся
Борис Рыжий,как мне одиноко с тобой…
Дмитрий Пригов,Конфеточку нарезывает он
Борис Рыжий,"со сцены, со сцены сойти."
Борис Рыжий,В кабаках ходят-бродят
Борис Рыжий,уронить боясь.
Дмитрий Пригов,И победить его не мог
Дмитрий Пригов,На время
Дмитрий Пригов,Что-то дом уж какой-то кривой
Борис Рыжий,мой жалкий прах советую зарыть
Борис Рыжий,и чтоб включал с утра
Дмитрий Пригов,"И пьющий, любящий, едящий"
Борис Рыжий,"с сыном за руку, за облаками,"
Дмитрий Пригов,Или страна чужая непривычная
Борис Рыжий,"Помнишь, под озябшими кустами"
Борис Рыжий,"Наблюдаешь за мною с сомненьем,"
Дмитрий Пригов,"Все светло кругом, я ныне"
Дмитрий Пригов,Вечерок один
Дмитрий Пригов,И по покорности великой разрешает
Борис Рыжий,изъята у Серёги Жилина.
Борис Рыжий,"четче, чем полуночный кошмар."
Борис Рыжий,- Кто эти идиоты?
Борис Рыжий,Летят снежинки аккуратные.
Дмитрий Пригов,А Некрасов над картою чахнул
Дмитрий Пригов,Чтобы жизнь внизу текла
Дмитрий Пригов,Да ведь я ведь и не жалюсь
Борис Рыжий,- что там? - поэзию и мрак.
Борис Рыжий,"где искал я забвенья в вине,"
Борис Рыжий,оставьте стол и дом
Дмитрий Пригов,В полуфабрикатах достал я азу
Борис Рыжий,"молчал, стихи записывал в тетрадку,"
Борис Рыжий,"И бесконечность прошлого, высвеченного тускло,"
Борис Рыжий,ярче ягод на том берегу.
Борис Рыжий,Пластполимер пускай свистит протяжно.
Дмитрий Пригов,Полдня простоял меж чужими людьми
Дмитрий Пригов,Чтоб к вечеру иметь гостей
Борис Рыжий,под тусклым светом фонаря.
Борис Рыжий,лунный свет за больничным окном.
Борис Рыжий,"синем-синем, глядишь за окно."
Дмитрий Пригов,Побеждаю в борьбе неторжественной
Борис Рыжий,"Померкли очи голубые,"
Борис Рыжий,"Исчезли фартучки, манжеты,"
Борис Рыжий,"с детским смехом, с опавшей листвою."
Дмитрий Пригов,Все дела свои оставил
Дмитрий Пригов,И прочих качеств боле ста
Дмитрий Пригов,Незаметные силы слепые
Борис Рыжий,очень мешает грядущему обрести размах.
Борис Рыжий,"закончившие ШРМ на тройки,"
Борис Рыжий,чтоб летели кругом облака.
Дмитрий Пригов,А то — посторонняя и некрасивая
Дмитрий Пригов,И крепко-накрепко поспим
Дмитрий Пригов,На какие смутны воды
Дмитрий Пригов,Вот Пушкина бы в очередь сию
Борис Рыжий,"Исчезло всё, что было мило,"
Борис Рыжий,"Всё в черно-белом цвете, ходят с мамами дети,"
Борис Рыжий,А ты по холоду идёшь
Дмитрий Пригов,Килограмм салата рыбного
Дмитрий Пригов,И выйду на улицы Праги
Дмитрий Пригов,Картошечки пакетик-два
Борис Рыжий,"Я сиживал на той скамейке,"
Дмитрий Пригов,Какой назойливый сынок!
Дмитрий Пригов,А дальше больше — дальше смерть
Дмитрий Пригов,И все же им счастье бывает
Борис Рыжий,"я ещё поживу и т.д.,"
Борис Рыжий,"Я проиграю в поединке,"
Дмитрий Пригов,Оттого ли в итоге устал
Дмитрий Пригов,То тогда продуктов нет
Борис Рыжий,Из школьного зала -
Борис Рыжий,И пахнет прелою листвою.
Борис Рыжий,"Восьмидесятые, усатые,"
Дмитрий Пригов,Направлен
Борис Рыжий,"Скамейка, счастье и любовь."
Борис Рыжий,"всё хорошо, как никогда."
Борис Рыжий,огни под кронами дерев.
Борис Рыжий,И поскольку сердце не забыло
Борис Рыжий,"гляди сюда, какими лейблами"
Дмитрий Пригов,Женщина в метро меня лягнула
Дмитрий Пригов,За то вот на том белом свете
Борис Рыжий,"Надо думать о самом обычном,"
Дмитрий Пригов,Я вышел из подъезда
Дмитрий Пригов,На корточки присел
Борис Рыжий,"Про те же самые чувства показывало искусство,"
Борис Рыжий,"и осенью, того,"
Дмитрий Пригов,"Я думал: вот — дитя, небось"
Дмитрий Пригов,К нему
Дмитрий Пригов,Какая стройная мамаша!
Дмитрий Пригов,Как я в матросочке нарядной
Дмитрий Пригов,Судьба во всем здесь дышит явно
Дмитрий Пригов,"Понятно — имеет права, заслужила"
Борис Рыжий,На берегу реки
Борис Рыжий,"Влюблённых слипшиеся пары,"
Борис Рыжий,Не прохладно проститься с собой
Борис Рыжий,прожектора.
Дмитрий Пригов,"Неподалеку, в детский сад соседний"
Дмитрий Пригов,А после спать с тобою ляжем
Борис Рыжий,"а потому что там мои кенты,"
Дмитрий Пригов,Что я — лучше всех?
Борис Рыжий,Я для одной за три копейки
Дмитрий Пригов,Я гуляю по Садовой
Борис Рыжий,"ни чужого яблоневого сада,"
Дмитрий Пригов,Глядь — уж новая лежит
Борис Рыжий,- Кто эти мудочёсы?
Дмитрий Пригов,Я стоял за виноградом
Борис Рыжий,Загар бронёю на узбеке.
Борис Рыжий,"Надо дачу сначала купить,"
Дмитрий Пригов,"Был школьник, а теперь он слесарь"
Дмитрий Пригов,"Ну, всю очередь-то не стоял"
Дмитрий Пригов,Вставать
Борис Рыжий,тупо пялясь в больничную стенку
Дмитрий Пригов,А то начнешь строить дорожки
Борис Рыжий,Что только-только началось -
Борис Рыжий,"Любовь и солнце - мимо, мимо"
Дмитрий Пригов,И жить не захотел
Борис Рыжий,столе стакан вина.
Борис Рыжий,"только пар, только белое в синем,"
Борис Рыжий,"високосной весной,"
Борис Рыжий,"На купоросных голубых снегах,"
Борис Рыжий,Пусть станут чёрными леса.
Дмитрий Пригов,Ведь это же все на уровне могил
Дмитрий Пригов,"Но это по земным, по слабым меркам"
Борис Рыжий,ты на крыльях своих унеси
Дмитрий Пригов,Вот поди ж ты — на
Борис Рыжий,"Ничего действительно не надо,"
Борис Рыжий,"И я услышу поутру,"
Борис Рыжий,в сентябре начинали грустить
Дмитрий Пригов,Когда ж от старости придешь туда калекой
Дмитрий Пригов,Любую бы отдал конечность
Дмитрий Пригов,Как зверь влачит своей супруге
Дмитрий Пригов,Послевоенных лет
Дмитрий Пригов,И буду грязный неприличный я
Борис Рыжий,"Как мне одиноко,"
Борис Рыжий,"горечи, стыда."
Борис Рыжий,под мрачную и духовую.
Дмитрий Пригов,Пионер-отличник!
Борис Рыжий,то жизнь мою перетасует
Дмитрий Пригов,И в каком-то другом направленьи
Дмитрий Пригов,Всем своим женским скрытым существом
Борис Рыжий,"оглянись, поцелуй меня в губы,"
Дмитрий Пригов,О чем писали бы? — о счастье
Дмитрий Пригов,"Я, естественно, в ответ лягнул"
Борис Рыжий,чтобы эти милиционеры
Дмитрий Пригов,Пробежало мое детство
Дмитрий Пригов,А может быть и куда проще —
Борис Рыжий,и хмуро делаешь затяжку.
Борис Рыжий,когда в ватниках трое рабочих
Дмитрий Пригов,"Правда, можно и не мыть"
Дмитрий Пригов,Вот так же как и он теперь —
Дмитрий Пригов,Во двор и сразу прыгну в небо
Дмитрий Пригов,Уж какая тут свобода
Дмитрий Пригов,Рядом
Борис Рыжий,"где живы мы, в альбоме голубом,"
Дмитрий Пригов,Еще бутылочка там крепкой
Дмитрий Пригов,Когда б немыслимый Овидий
Дмитрий Пригов,И вымоюсь польским шампунем
Борис Рыжий,А с ними весь ажурный мир.
Борис Рыжий,под мустом дребезжат трамваи.
Борис Рыжий,"клюв повесив, по лужам осенним"
Борис Рыжий,А что такое старость? Это
Борис Рыжий,мне неведомой щедрой рукою
Дмитрий Пригов,"Уж очень есть и пьет, и любит"
Борис Рыжий,"Да, плевать, но бывает порою..."
Дмитрий Пригов,То чего-то нет другого
Борис Рыжий,расписана моя телага.
Борис Рыжий,тех жемчужин на талом снегу.
Борис Рыжий,Не вели бухого до кровати.
Борис Рыжий,играет старая музыка какую-то дребедень.
Борис Рыжий,"оставь меня, когда мне больно,"
Дмитрий Пригов,Ко мне зашел бы и увидел
Борис Рыжий,И пролетают облака
Дмитрий Пригов,Когда тайком я мусор выносил
Борис Рыжий,"рябину, боль в плече,"
Борис Рыжий,Когда уроки пропускал.
Дмитрий Пригов,"Иль умереть, или на Твой лишь зов"
Борис Рыжий,"про этот самый парк отдыха, про мальчика на руках."
Дмитрий Пригов,Говорят: посуда грязная —
Дмитрий Пригов,Поскольку мне его не совершить
Борис Рыжий,"А когда мы друг друга покинем,"
Борис Рыжий,От ностальгии или сдуру и спьяну можно
Дмитрий Пригов,Вот я котлеточку зажарю
Дмитрий Пригов,Как я в матросочке своей
Борис Рыжий,это я тебя очень любил.
Дмитрий Пригов,И сверху солнышко светило
Дмитрий Пригов,Текущий кровью жаркий кус
Борис Рыжий,"Это что-то задолго до Блока,"
Дмитрий Пригов,То он при этом виде
Борис Рыжий,в голубое сиянье
Дмитрий Пригов,Из этого что вытекает? —
Борис Рыжий,И белей твои зубы
Дмитрий Пригов,Все равно чего-то есть —
Дмитрий Пригов,Вода из крана вытекает
Борис Рыжий,"размышляю о смерти всерьёз,"
Борис Рыжий,"Как долго я жил на свете, как переносил все эти"
Дмитрий Пригов,Подскользнешься и попадешь
Дмитрий Пригов,Вот это вот его и сгубит
Дмитрий Пригов,"Она же плачет, но и совершает"
Борис Рыжий,Меж правдою и вымыслом слоняться
Борис Рыжий,только это не я сочинил:
Дмитрий Пригов,"Под вечер, чтоб не видели соседи"
Борис Рыжий,Это мои друзья.
Борис Рыжий,И тары-бары-растабары
Борис Рыжий,"Ну-ка, стрелку положим,"
Дмитрий Пригов,Не только эдаких страстей
Дмитрий Пригов,К которым мы так долго шли —
Борис Рыжий,и вода по мордам их текла.
Дмитрий Пригов,Вот течет вода — ее я постигаю
Дмитрий Пригов,"Может, оно и полезнее"
Борис Рыжий,Всё рассыпается на части
Дмитрий Пригов,Колбасы двухнедельной остатки
Борис Рыжий,"Ни для чего и ни зачем,"
Борис Рыжий,прохожий шлёпает во тьму
Борис Рыжий,"стали не наяву, а во сне."
Борис Рыжий,"Не во гневе, а так, между прочим"
Борис Рыжий,и крести бросит на сукно.
Дмитрий Пригов,И только в чем душа жила? —
Борис Рыжий,"водка и шашлыки,"
Борис Рыжий,"надо даже тёплого участья,"
Борис Рыжий,"одного не прощу тебе, ты,"
Дмитрий Пригов,Страсть во мне есть такая — украдкой
Дмитрий Пригов,"Был худ, но духом бел"
